size,type,threshold,time_ms
3800,almost,20,0.299
3800,almost,30,0.213
3800,almost,50,0.204
3900,random,0,0.543
3900,random,5,0.487
3900,random,10,0.437
3900,random,20,0.428
3900,random,30,0.426
3900,random,50,0.41
3900,reversed,0,0.278
3900,reversed,5,0.231
3900,reversed,10,0.217
3900,reversed,20,0.222
3900,reversed,30,0.247
3900,reversed,50,0.254
3900,almost,0,0.311
3900,almost,5,0.283
3900,almost,10,0.241
3900,almost,20,0.212
3900,almost,30,0.203
3900,almost,50,0.218
4000,random,0,0.584
4000,random,5,0.489
4000,random,10,0.449
4000,random,20,0.445
4000,random,30,0.45
4000,random,50,0.434
4000,reversed,0,0.292
4000,reversed,5,0.246
4000,reversed,10,0.22
4000,reversed,20,0.208
4000,reversed,30,0.218
4000,reversed,50,0.276
4000,almost,0,0.347
4000,almost,5,0.277
4000,almost,10,0.258
4000,almost,20,0.231
4000,almost,30,0.226
4000,almost,50,0.216
4100,random,0,0.615
4100,random,5,0.591
4100,random,10,0.461
4100,random,20,0.511
4100,random,30,0.48
4100,random,50,0.463
4100,reversed,0,0.304
4100,reversed,5,0.263
4100,reversed,10,0.243
4100,reversed,20,0.233
4100,reversed,30,0.231
4100,reversed,50,0.295
4100,almost,0,0.346
4100,almost,5,0.292
4100,almost,10,0.267
4100,almost,20,0.236
4100,almost,30,0.233
4100,almost,50,0.229
4200,random,0,0.774
4200,random,5,0.548
4200,random,10,0.525
4200,random,20,0.48
4200,random,30,0.488
4200,random,50,0.464
4200,reversed,0,0.311
4200,reversed,5,0.25
4200,reversed,10,0.228
4200,reversed,20,0.238
4200,reversed,30,0.262
4200,reversed,50,0.346
4200,almost,0,0.36
4200,almost,5,0.307
4200,almost,10,0.274
4200,almost,20,0.238
4200,almost,30,0.237
4200,almost,50,0.217
4300,random,0,0.63
4300,random,5,0.772
4300,random,10,0.623
4300,random,20,0.627
4300,random,30,0.514
4300,random,50,0.508
4300,reversed,0,0.423
4300,reversed,5,0.402
4300,reversed,10,0.243
4300,reversed,20,0.247
4300,reversed,30,0.245
4300,reversed,50,0.326
4300,almost,0,0.367
4300,almost,5,0.31
4300,almost,10,0.3
4300,almost,20,0.258
4300,almost,30,0.244
4300,almost,50,0.22
4400,random,0,0.617
4400,random,5,0.558
4400,random,10,0.527
4400,random,20,0.507
4400,random,30,0.5
4400,random,50,0.548
4400,reversed,0,0.411
4400,reversed,5,0.26
4400,reversed,10,0.234
4400,reversed,20,0.233
4400,reversed,30,0.234
4400,reversed,50,0.316
4400,almost,0,0.55
4400,almost,5,0.315
4400,almost,10,0.276
4400,almost,20,0.243
4400,almost,30,0.235
4400,almost,50,0.217
4500,random,0,0.622
4500,random,5,0.562
4500,random,10,0.534
4500,random,20,0.495
4500,random,30,0.604
4500,random,50,0.577
4500,reversed,0,0.359
4500,reversed,5,0.287
4500,reversed,10,0.26
4500,reversed,20,0.266
4500,reversed,30,0.267
4500,reversed,50,0.337
4500,almost,0,0.402
4500,almost,5,0.333
4500,almost,10,0.285
4500,almost,20,0.256
4500,almost,30,0.253
4500,almost,50,0.312
4600,random,0,0.726
4600,random,5,0.593
4600,random,10,0.724
4600,random,20,0.552
4600,random,30,0.538
4600,random,50,0.536
4600,reversed,0,0.382
4600,reversed,5,0.295
4600,reversed,10,0.258
4600,reversed,20,0.27
4600,reversed,30,0.27
4600,reversed,50,0.35
4600,almost,0,0.401
4600,almost,5,0.455
4600,almost,10,0.407
4600,almost,20,0.306
4600,almost,30,0.259
4600,almost,50,0.24
4700,random,0,0.851
