N,Area_Narrow,Error_Narrow,Area_Wide,Error_Wide
61600,0.946429545454545,0.002024695350843,0.946988636363636,0.002616628369572
62100,0.948275684380032,0.003979280140879,0.924371980676329,0.021328574560505
62600,0.945033546325879,0.000546692462693,0.950842651757189,0.006697036276477
63100,0.939910301109350,0.004877502346054,0.941755150554675,0.002924282782804
63600,0.941935849056604,0.002732969692237,0.931654874213837,0.013617869402110
64100,0.944440873634945,0.000080794998394,0.945600624024961,0.001147081431309
64600,0.947188854489164,0.002828607705170,0.935816563467492,0.009211714261912
65100,0.944135483870968,0.000404123963221,0.939543010752688,0.005266368067235
65600,0.949535060975610,0.005312635017189,0.934809451219512,0.010277986282173
66100,0.943095915279879,0.001504758876601,0.941452344931921,0.003244875808823
66600,0.949351351351352,0.005118133924990,0.931625375375375,0.013649101060889
67100,0.941327868852459,0.003376663860242,0.940018628912072,0.004762811153201
67600,0.945376923076923,0.000910239845600,0.956079881656805,0.012241911454824
68100,0.942898972099853,0.001713270889899,0.951578560939794,0.007476174225042
68600,0.946028571428572,0.001600167314763,0.953571428571429,0.009586106856640
69100,0.942975976845152,0.001631742733028,0.962803907380608,0.019360919794942
69600,0.945144827586207,0.000664510605115,0.945502873563218,0.001043588913436
70100,0.945776890156919,0.001333701785696,0.952389443651926,0.008334689797058
70600,0.944337677053824,0.000190053551507,0.931242917847026,0.014054024903525
